osm_id,name,amenity_type,amenity,wheelchair,toilets:wheelchair,opening_hours,operator,description,is_accessible,latitude,longitude
node/12324887111,Mr John Cunningham,wheelchair_accessible_place,doctors,yes,,Mo-Fr 08:00-17:00,Mr John Cunningham,,True,-37.8174212,144.9925678
node/12325544327,Flood Restoration Melbourne,wheelchair_accessible_place,,yes,,24/7,,,True,-37.8350173,144.976297
node/12333196257,Osoi,wheelchair_accessible_place,cafe,yes,,Mo-Fr 07:30-15:00; Sa-Su 08:00-15:00,,,True,-37.7601578,144.9610405
node/12338088795,Marayam Gold,wheelchair_accessible_place,bureau_de_change,yes,,,,,True,-37.7417191,144.9663848
node/12338088798,Dollar Dealers,wheelchair_accessible_place,,yes,,,,,True,-37.7418257,144.9663719
node/12338089589,Coburg Health Shop,wheelchair_accessible_place,,yes,,,,,True,-37.7423628,144.9662565
node/12338089590,Sleek Boutique,wheelchair_accessible_place,,yes,,,,,True,-37.7423285,144.9662637
node/12338089593,Najaf Jewellers,wheelchair_accessible_place,,yes,,,,,True,-37.7415257,144.966413
node/12338116784,Sussan,wheelchair_accessible_place,,yes,,,,,True,-37.742863,144.9661654
node/12338210667,Pharaoh Hair And Beauty Salon,wheelchair_accessible_place,,yes,,,,,True,-37.7448528,144.9661211
node/12342515745,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.808966,144.9858169
node/12342543445,Ace Barber House,wheelchair_accessible_place,,yes,,"Mo,Tu 09:30-17:00; We-Fr 09:00-17:00; Sa 09:00-16:00; Su,PH 10:30-14:30",,,True,-38.1414344,145.2077621
node/12342563803,Anytime Fitness,wheelchair_accessible_place,,yes,,Mo-Su 00:00-00:00,,,True,-38.1417391,145.2082953
node/12343134753,Anytime Fitness,wheelchair_accessible_place,,yes,,24/7,,,True,-37.7661896,144.9587043
node/12347384591,Harding Rd/Warrandyte-Ringwood Rd,wheelchair_accessible_place,,yes,,,,,True,-37.7524858,145.2345291
node/12350365634,Panda Dry Cleaning & Laundry,wheelchair_accessible_place,,yes,,Mo-Fr 08:30-17:30; Sa 09:00-12:00; Su off,,,True,-37.9531445,145.0210299
node/12350388146,Artform,wheelchair_accessible_place,,yes,,Mo-Fr 09:30-15:00; Sa-Su off,,,True,-37.9532278,145.0210082
node/12350388147,Cherry Blossom Massage,wheelchair_accessible_place,,yes,,,,,True,-37.9533499,145.0209908
node/12352442247,The Yarra Store,wheelchair_accessible_place,,yes,,,,,True,-37.7393301,145.2297052
node/12360512562,Melrose Dental,wheelchair_accessible_place,dentist,yes,,,,,True,-37.9497028,145.0037256
node/12360517776,Sandringham Living,wheelchair_accessible_place,,yes,,,,,True,-37.9502681,145.0039098
node/12360526483,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9492746,145.0032761
node/12360532052,Dagach,wheelchair_accessible_place,restaurant,yes,,"Mo off; Tu-Fr 17:00-22:00; Sa-Su 12:00-14:30,17:00-22:00",,,True,-37.9513264,145.0039023
node/12360532054,Bay Road Dental,wheelchair_accessible_place,dentist,yes,,Mo 08:00-19:00; Tu-Fr 08:00-17:00; Sa 08:30-13:00; Su off,,,True,-37.9517392,145.0052754
node/12360535382,All Souls Opportunity Shop,wheelchair_accessible_place,,yes,,,,,True,-37.9520275,145.0054337
node/12360545274,Belle Property,wheelchair_accessible_place,,yes,,"""Appointment Only""",,,True,-37.9519533,145.004885
node/12360545275,Doctors @ Bayside,wheelchair_accessible_place,doctors,yes,,,,,True,-37.9519412,145.0047952
node/12361037446,Wheelchair Accessible Place,wheelchair_accessible_place,drinking_water,yes,,,Yarra Valley Water,,True,-37.7986134,145.3237167
node/12361047143,Wheelchair Accessible Place,wheelchair_accessible_place,drinking_water,yes,,,Yarra Valley Water,,True,-37.7999881,145.3226676
node/12366548773,Dymocks,wheelchair_accessible_place,,yes,,,,,True,-37.7855019,145.1260299
node/12366548775,BStore,wheelchair_accessible_place,,yes,,,,,True,-37.7856126,145.1259105
node/12366613572,Westfield Doncaster Information,wheelchair_accessible_place,,yes,,,,,True,-37.7853794,145.1257348
node/12366945839,Cue,wheelchair_accessible_place,,yes,,,,,True,-37.7845433,145.1258858
node/12366945840,Aje Athletica,wheelchair_accessible_place,,yes,,,,,True,-37.7844647,145.1255212
node/12366945841,Zimmerman,wheelchair_accessible_place,,yes,,,,,True,-37.7841957,145.125876
node/12366945842,R.M.Williams,wheelchair_accessible_place,,yes,,,,,True,-37.784347,145.1255107
