tree_id,common_name,genus,dbh_cm,useful_life_years,useful_life_label,age_description,located_in,precinct,lat,lon,shade_score,suburb_id
1040310,Mediterranean cypress,Cupressus,50.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81211103,144.9829532,0.0019,297979799
1040318,Canary Island Pine,Pinus,60.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81237845,144.982394,0.0023,297979799
1040321,English Elm,Ulmus,50.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81230759,144.9821296,0.0019,297979799
1040326,Swamp White Oak,Quercus,30.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81202191,144.9815119,0.0012,297979799
1040329,Hoop Pine,Araucaria,70.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81167313,144.9815185,0.0027,297979799
1040334,Cabbage Tree,Cordyline,15.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81158319,144.9814,0.0006,297979799
1040336,Norfolk Island Pine,Araucaria,50.0,50,> 41 years,Mature,Park,East Melbourne,-37.81154,144.9811546,0.0019,297979799
1040337,Moreton Bay Fig,Ficus,120.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81174692,144.9812389,0.0046,297979799
1040339,Bunya pine,Araucaria,65.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81197245,144.981312,0.0025,297979799
1040342,Purple Branched Elm,Ulmus,34.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81152826,144.9808268,0.0013,297979799
1040344,English Elm,Ulmus,60.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81215797,144.980657,0.0023,297979799
1040347,English Elm,Ulmus,70.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81205764,144.9806792,0.0027,297979799
1040351,English Elm,Ulmus,65.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81185717,144.980585,0.0025,297979799
1040352,Moreton Bay Fig,Ficus,270.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81207443,144.9804491,0.0104,297979799
1040355,English Elm,Ulmus,57.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81152835,144.980601,0.0022,297979799
1040363,English Elm,Ulmus,65.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81120317,144.980872,0.0025,297979799
1040364,English Elm,Ulmus,70.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81121266,144.9806732,0.0027,297979799
1040365,English Elm,Ulmus,86.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81110085,144.9807072,0.0033,297979799
1040372,Brush Box,Lophostemon,30.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81077227,144.9806539,0.0012,297979799
1040377,Cook pine,Araucaria,55.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81025031,144.9807058,0.0021,297979799
1040378,Moreton Bay Fig,Ficus,300.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81030284,144.9806009,0.0115,297979799
1040379,Canary Island Date Palm,Phoenix,45.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81052393,144.9805302,0.0017,297979799
1040382,Sweet Pittosporum,Pittosporum,30.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81020458,144.9802163,0.0012,297979799
1040395,Horse Chestnut,Aesculus,17.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81026339,144.9795657,0.0007,297979799
1040405,Mediterranean cypress,Cupressus,65.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81002255,144.9786361,0.0025,297979799
1040406,Moreton Bay Fig,Ficus,200.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81007642,144.9784833,0.0077,297979799
1040408,Canary Island Date Palm,Phoenix,40.0,50,> 41 years,Mature,Park,East Melbourne,-37.81032383,144.9785529,0.0015,297979799
1040414,Canary Island Date Palm,Phoenix,50.0,50,> 41 years,Mature,Park,East Melbourne,-37.81062202,144.9787047,0.0019,297979799
1040416,Prickly Paperbark,Melaleuca,35.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.810827,144.9791594,0.0013,297979799
1040424,Canary Island Pine,Pinus,65.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81118041,144.9795664,0.0025,297979799
1040426,Canary Island Pine,Pinus,65.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81104168,144.9791709,0.0025,297979799
1040433,English Elm,Ulmus,90.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81244801,144.9795274,0.0035,297979799
1040442,Wych Elm,Ulmus,20.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81185367,144.9781732,0.0008,297979799
1040444,Deodar,Cedrus,50.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81194513,144.9784544,0.0019,297979799
1040447,English Elm,Ulmus,76.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81203565,144.9789483,0.0029,297979799
1040449,English Elm,Ulmus,70.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.8119404,144.979069,0.0027,297979799
1040450,English Elm,Ulmus,68.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81185187,144.9789728,0.0026,297979799
1040451,English Elm,Ulmus,120.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81185437,144.9787782,0.0046,297979799
1040453,English Elm,Ulmus,100.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81175259,144.9787014,0.0038,297979799
1040454,English Elm,Ulmus,75.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81165934,144.9788013,0.0029,297979799
1040457,English Elm,Ulmus,85.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81158309,144.9787316,0.0033,297979799
1040461,English Elm,Ulmus,56.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81147729,144.9784869,0.0022,297979799
