suburb_id,suburb_name,centroid_lat,centroid_lng
210051441,Craigieburn - Central,-37.59216084864474,144.9356030009465
210051442,Craigieburn - North,-37.57066473354233,144.94325469633716
210051443,Craigieburn - South,-37.604446050535,144.91879843433185
210051445,Mickleham - Yuroke,-37.54359219195567,144.90191756944097
210051542,Craigieburn - North West,-37.57078877121145,144.90453162137
210051543,Craigieburn - West,-37.58530500202509,144.9047689329928
210051544,Roxburgh Park (South) - Somerton,-37.633842693500625,144.94104394739833
210051545,Roxburgh Park - North,-37.618888752863334,144.92476709795267
211011251,Bayswater,-37.84544262067273,145.26476542820916
211011254,Knoxfield - Scoresby,-37.89721913653324,145.23046695649955
211011255,Lysterfield,-37.92696598742984,145.29080964297648
211011256,Rowville - Central,-37.919383734571205,145.24316934796718
211011257,Rowville - North,-37.90714173131037,145.26086039459452
211011258,Rowville - South,-37.935519578284,145.2388431897285
211011259,Wantirna,-37.85232314686144,145.2259751839922
211011260,Wantirna South,-37.87365151637421,145.22091619292007
211011446,Boronia,-37.85629069280673,145.28596640586147
211011447,Ferntree Gully - North,-37.877305034981994,145.28555810706527
211011448,Ferntree Gully (South) - Upper Ferntree Gully,-37.89282499784802,145.2838108906998
211011449,The Basin,-37.855687326897915,145.3213725120228
211021261,Donvale - Park Orchards,-37.784569459813824,145.20305412375097
211021262,Warrandyte - Wonga Park,-37.743093237223505,145.24288292736088
211031263,Bayswater North,-37.828480119374305,145.2928905610909
211031265,Croydon Hills - Warranwood,-37.772953479901226,145.2687239452293
211031266,Ringwood,-37.811421148981516,145.23337205050188
211031267,Ringwood East,-37.82148895328993,145.24867782355247
211031268,Ringwood North,-37.79465013822174,145.23068791545293
211031450,Croydon - East,-37.801019494523075,145.29122673232135
211031451,Croydon - West,-37.78887632638739,145.27843770517472
211031452,Croydon South,-37.815086077134936,145.2793228342425
211041269,Forest Hill,-37.83986939192746,145.17104826004757
211041270,Mitcham (Vic.),-37.81817686402238,145.19900730474322
211041271,Nunawading,-37.81736151326603,145.17653063971358
211041272,Vermont,-37.83843241565141,145.19929132604736
211041273,Vermont South,-37.85438699239768,145.1878168362734
211051274,Belgrave - Selby,-37.93873014845611,145.35515373877146
211051275,Chirnside Park,-37.73860055632588,145.31431533412936
211051276,Healesville - Yarra Glen,-37.626136267370455,145.49616073083672
211051277,Kilsyth,-37.81542508472571,145.3203389789584
211051278,Lilydale - Coldstream,-37.71379280269307,145.38883954695314
211051279,Monbulk - Silvan,-37.86407978022706,145.45872191147208
211051280,Montrose,-37.811135322549816,145.34794901863967
211051281,Mooroolbark,-37.78133757873579,145.3256706433139
211051282,Mount Dandenong - Olinda,-37.86183492112377,145.37567936366278
211051283,Mount Evelyn,-37.78729078210633,145.388210378146
211051284,Upwey - Tecoma,-37.90424898622366,145.33073146325336
211051285,Wandin - Seville,-37.76063096261021,145.46397116227308
211051286,Yarra Valley,-37.767913516509196,145.680292952002
212011289,Emerald - Cockatoo,-37.95317618704359,145.56165909331588
212011546,Beaconsfield - Officer,-38.04234780749466,145.4003912033574
212011547,Bunyip - Garfield,-38.07989238215425,145.6469695053853
212011548,Koo Wee Rup,-38.20738688771213,145.5513783424361
212011549,Pakenham - North East,-38.053030913022866,145.5067592135414
212011550,Pakenham - North West,-38.04164448890578,145.45402469099224
212011551,Pakenham - South East,-38.09385555517451,145.51549857673461
212011552,Pakenham - South West,-38.091611605330336,145.465067071371
212021293,Berwick - North,-38.025136866580176,145.34883636860096
212021295,Doveton,-37.99060196802336,145.24020024858785
212021297,Hallam,-38.00774931470782,145.26849480968175
212021299,Narre Warren North,-37.986311505548265,145.33040066494812
212021453,Endeavour Hills - North,-37.9594695536938,145.25802641915075
212021454,Endeavour Hills - South,-37.98337701860292,145.260796406817
212021455,Narre Warren - North East,-38.00505491962179,145.30942337285734
212021456,Narre Warren - South West,-38.02480220602282,145.30407731486406
212021553,Berwick - South East,-38.06450078526005,145.35670679720354
212021554,Berwick - South West,-38.054567839385605,145.33040390794503
212031300,Cranbourne,-38.10689444731609,145.27571054681746
212031303,Cranbourne South,-38.15145422015974,145.31292164235828
212031304,Cranbourne West,-38.10184605984667,145.24840428833463
212031306,Lynbrook - Lyndhurst,-38.062036363866575,145.25315224144794
212031308,Pearcedale - Tooradin,-38.20446184074128,145.31156334167372
212031457,Narre Warren South - East,-38.059028238799826,145.31257153190066
212031458,Narre Warren South - West,-38.050096045805276,145.29204645752333
212031555,Clyde North - North,-38.084859288772385,145.35752849205898
212031556,Clyde North - South,-38.10763837390055,145.36361382281584
212031557,Cranbourne East - North,-38.10224450376129,145.31289959915347
212031558,Cranbourne East - South,-38.12249714859267,145.30421885313717
212031559,Cranbourne North - East,-38.0795552586284,145.315434117439
212031560,Cranbourne North - West,-38.07514414385117,145.27992609172315
212031561,Hampton Park - East,-38.04346040749925,145.27526841678923
212031562,Hampton Park - West,-38.030821066429176,145.25789726984792
212041309,Clarinda - Oakleigh South,-37.93856328191777,145.09904887735385
212041310,Clayton South,-37.94306051307816,145.12521399554063
212041312,Dandenong North,-37.955914351382354,145.2142404251064
212041313,Dingley Village,-37.97490335107525,145.12713101298684
212041316,Noble Park North,-37.951249557789225,145.190828433203
212041317,Springvale,-37.94569526013163,145.15785595364355
212041318,Springvale South,-37.970844334004376,145.1478614631541
212041459,Noble Park - East,-37.96392270969896,145.18174472489522
212041460,Noble Park - West,-37.97393932081561,145.17273967499125
212041563,Dandenong - North,-37.98128664936657,145.21546769460875
212041564,Dandenong - South,-38.037727930097226,145.20889796269404
212041565,Keysborough - North,-37.98997077196882,145.17205706007357
212041566,Keysborough - South,-38.02138581072288,145.16164647818312
212051319,Ashwood - Chadstone,-37.87242596653535,145.10145271965646
212051321,Glen Waverley - East,-37.881522669020455,145.17831845871257
212051322,Glen Waverley - West,-37.88170027819508,145.15607063877715
212051323,Mount Waverley - North,-37.86646051036202,145.13023391342296
212051324,Mount Waverley - South,-37.88726367739433,145.12720267078842
212051325,Mulgrave,-37.92568278656582,145.17586858530692
212051326,Oakleigh - Huntingdale,-37.90848155790472,145.10120743594902
212051327,Wheelers Hill,-37.90758571948241,145.1868658949181
212051567,Clayton (North) - Notting Hill,-37.91054911926501,145.13813913578542
212051568,Clayton - Central,-37.92268356820267,145.1247272294227
213011328,Ardeer - Albion,-37.77615027690895,144.80960019866754
213011329,Cairnlea,-37.7593149636614,144.7878074169139
213011331,Delahey,-37.719803073957905,144.77731965235276
213011332,Keilor Downs,-37.72628814774587,144.81290661668282
213011333,Kings Park (Vic.),-37.73902990981977,144.77050697412423
213011334,St Albans - North,-37.73716478660031,144.80238860194564
213011335,St Albans - South,-37.75335566738639,144.80763291597918
213011336,Sunshine,-37.78932145060696,144.83425172235832
213011337,Sunshine North,-37.76392865010275,144.83618889313308
213011338,Sunshine West,-37.80200784278442,144.8182721783673
213011339,Sydenham,-37.69979615790415,144.76424224559588
213011340,Taylors Lakes,-37.688510649208844,144.78596959151437
213011569,Deer Park,-37.7686617393791,144.77128889497595
213011570,Derrimut,-37.79879506719955,144.7760263944311
213021341,Altona,-37.86030650559995,144.81501004529062
213021342,Altona Meadows,-37.88098941209651,144.78443331708132
213021343,Altona North,-37.835724347205854,144.83609025523486
213021344,Newport,-37.837627635229474,144.88222179862188
213021345,Seabrook,-37.8809206460625,144.7586559986953
213021346,Williamstown,-37.85912873443828,144.88478867390316
213031347,Braybrook,-37.78468800237322,144.86299218748735
213031348,Footscray,-37.798129176733354,144.89731859832133
213031349,Maribyrnong,-37.7726888936942,144.88776137861342
213031350,Seddon - Kingsville,-37.80766734604172,144.8863418793272
213031351,West Footscray - Tottenham,-37.802027915703256,144.86450713467588
213031352,Yarraville,-37.81797666218002,144.8819718446391
213041353,Bacchus Marsh,-37.637931249736226,144.4546362675087
213041358,Melton West,-37.66487024707241,144.54260346813592
213041359,Rockbank - Mount Cottrell,-37.760396529410805,144.66722994789805
213041360,Taylors Hill,-37.71455740467327,144.74900955212874
213041461,Burnside,-37.74921245550771,144.75302697796255
213041462,Burnside Heights,-37.73223107536933,144.75563146640923
213041463,Caroline Springs,-37.73892504517956,144.73736491786073
213041571,Brookfield,-37.69934255998208,144.54055048562742
213041572,Cobblebank - Strathtulloh,-37.7220492430576,144.5985051930467
213041573,Eynesbury - Exford,-37.75507890181152,144.53095733033638
213041574,Fraser Rise - Plumpton,-37.68700789025863,144.69081181174147
213041575,Hillside,-37.6899668931007,144.74108725043916
213041576,Kurunjang - Toolern Vale,-37.616241950417695,144.5936055790005
213041577,Melton,-37.68575415472249,144.59580163933072
213041578,Melton South - Weir Views,-37.717864398124924,144.56846020427022
213051361,Hoppers Crossing - North,-37.86244380580941,144.70125423932424
213051362,Hoppers Crossing - South,-37.87327829812794,144.68536103874794
213051363,Laverton,-37.8395367079371,144.77804627781862
213051368,Werribee - South,-37.951356928165374,144.65289647177258
213051464,Point Cook - East,-37.913132343181836,144.7701074715316
213051466,Point Cook - South,-37.91133710721887,144.7334466523941
213051467,Werribee - East,-37.88517739290166,144.66195070881494
213051468,Werribee - West,-37.91965967205871,144.54848214784465
213051579,Manor Lakes - Quandong,-37.84848939103305,144.51867979190615
213051580,Point Cook - North East,-37.88645861133166,144.74357952065196
213051581,Point Cook - North West,-37.88535213436295,144.72616541511377
213051582,Tarneit (West) - Mount Cottrell,-37.824218020584865,144.6243244747549
213051583,Tarneit - Central,-37.840689939364935,144.68049032605117
213051584,Tarneit - North,-37.81816129443649,144.68160846855628
